case,entities,relations,task,mean_ms,median_ms,p95_ms,min_ms,max_ms
S,10,15,normalize(analyzeNormalization),0.917,0.814,2.408,0.492,2.408
S,10,15,sql_postgres,0.827,0.656,1.816,0.597,1.816
S,10,15,sql_mysql,0.852,0.853,0.894,0.813,0.894
S,10,15,sql_mssql,0.913,0.615,2.746,0.559,2.746
S,10,15,sql_sqlite,0.700,0.677,0.799,0.655,0.799
M,40,80,normalize(analyzeNormalization),4.490,4.426,5.109,4.069,5.109
M,40,80,sql_postgres,5.610,5.334,7.094,4.933,7.094
M,40,80,sql_mysql,5.624,5.414,6.924,5.178,6.924
M,40,80,sql_mssql,6.800,6.466,9.169,5.104,9.169
M,40,80,sql_sqlite,6.002,5.912,7.071,5.626,7.071
L,120,260,normalize(analyzeNormalization),41.074,38.303,65.627,37.190,65.627
L,120,260,sql_postgres,43.715,41.339,56.359,39.931,56.359
L,120,260,sql_mysql,43.862,43.236,49.769,41.712,49.769
L,120,260,sql_mssql,57.734,57.355,68.654,47.292,68.654
L,120,260,sql_sqlite,101.063,71.895,325.537,50.261,325.537
XL,300,700,normalize(analyzeNormalization),423.271,418.453,495.267,369.497,495.267
XL,300,700,sql_postgres,380.530,369.845,437.751,351.385,437.751
XL,300,700,sql_mysql,406.639,337.539,726.670,325.618,726.670
XL,300,700,sql_mssql,317.840,312.769,363.501,292.977,363.501
XL,300,700,sql_sqlite,353.742,341.392,403.898,326.106,403.898
